"shapeid","x","y","id","name"
"315","-103.3933399","20.7424726","1347771821","NULL"
"316","-103.391378","20.7430272","1347771824","NULL"
"317","-103.3884331","20.7452871","1347771832","NULL"
"318","-103.3885614","20.7454783","1347771833","NULL"
"319","-103.3786038","20.7557739","1347771846","NULL"
"320","-103.3754808","20.7565647","1347771848","NULL"
"321","-103.3873561","20.7567405","1347771849","NULL"
"322","-103.3714197","20.7575732","1347771850","NULL"
"323","-103.368438","20.7583197","1347771854","NULL"
"324","-103.3886084","20.7584177","1347771856","NULL"
"325","-103.3887978","20.7589816","1347771859","NULL"
"326","-103.3640836","20.75937","1347771870","NULL"
"327","-103.382992","20.7599432","1347771871","NULL"
"328","-103.3901292","20.7608611","1347771872","NULL"
"329","-103.3622324","20.7620635","1347771875","NULL"
"330","-103.3915036","20.7627727","1347771878","NULL"
"331","-103.3833892","20.7631945","1347771880","NULL"
"332","-103.3933475","20.7651849","1347771882","NULL"
"333","-103.396058","20.7657009","1347771886","NULL"
"334","-103.3991393","20.7663609","1347771889","NULL"
"335","-103.4156625","20.7556041","1347771891","NULL"
"336","-103.3838487","20.766675","1347771894","NULL"
"337","-103.4070612","20.7681888","1347771896","NULL"
"338","-103.3843009","20.7685202","1347771899","NULL"
"339","-103.4204223","20.757279","1347771900","NULL"
"340","-103.3567497","20.7700384","1347771901","NULL"
"341","-103.4241355","20.7585856","1347771909","NULL"
"342","-103.4259083","20.7592094","1347771910","NULL"
"343","-103.4338137","20.7619912","1347771911","NULL"
"344","-103.423999","20.7710775","1347771915","NULL"
"345","-103.4192671","20.7711938","1347771917","NULL"
"346","-103.4302331","20.7712975","1347771919","NULL"
"347","-103.3849641","20.7714191","1347771924","NULL"
"348","-103.4337886","20.7714379","1347771925","NULL"
"349","-103.4366107","20.771519","1347771927","NULL"
"350","-103.4418125","20.7717433","1347771931","NULL"
"351","-103.4476208","20.7719468","1347771934","NULL"
"352","-103.4620794","20.7724747","1347771946","NULL"
"353","-103.4702372","20.7727751","1347771948","NULL"
"354","-103.3548148","20.7728713","1347771949","NULL"
"355","-103.3531614","20.7750135","1347771952","NULL"
"356","-103.459735","20.7759488","1347771965","NULL"
"357","-103.3879114","20.7760239","1347771967","NULL"
"358","-103.4604651","20.7765873","1347771972","NULL"
"359","-103.4605036","20.776854","1347771979","NULL"
"360","-103.3510845","20.7770156","1347771986","NULL"
"361","-103.4651917","20.7772929","1347771999","NULL"
"362","-103.4567211","20.7775183","1347772005","NULL"
"363","-103.3490912","20.7783742","1347772008","NULL"
"364","-103.3498726","20.7787408","1347772011","NULL"
"365","-103.3474886","20.7793277","1347772028","NULL"
"366","-103.3503151","20.7794318","1347772029","NULL"
"367","-103.3481068","20.7797461","1347772032","NULL"
"368","-103.3481496","20.779933","1347772035","NULL"
"369","-103.3411364","20.7807074","1347772040","NULL"
"370","-103.342154","20.7812352","1347772045","NULL"
"371","-103.4353915","20.781373","1347772048","NULL"
"372","-103.341021","20.7814921","1347772050","NULL"
"373","-103.3411207","20.7820336","1347772059","NULL"
"374","-103.4183255","20.7844557","1347772069","NULL"
"375","-103.3936915","20.7853472","1347772071","NULL"
"376","-103.4102294","20.7859131","1347772079","NULL"
"377","-103.3948582","20.7871363","1347772096","NULL"
"378","-103.3508635","20.6336599","1349293160","NULL"
"379","-103.3405723","20.6057758","1350030663","NULL"
"380","-103.3488568","20.6285891","1350991513","NULL"
"381","-103.3483746","20.5855305","1352103247","NULL"
"382","-103.348006","20.5859647","1352103277","NULL"
"383","-103.3500686","20.5830758","1352103292","NULL"
"384","-103.3529799","20.6460744","1354204746","NULL"
"385","-103.3524154","20.644012","1354204760","NULL"
"386","-103.3486711","20.6623255","1354204793","NULL"
"387","-103.3498257","20.6600703","1354204797","NULL"
"388","-103.3528486","20.6470648","1354204842","NULL"
"389","-103.3510381","20.6572269","1354204851","NULL"
"390","-103.3481086","20.6634202","1354204858","NULL"
"391","-103.3509927","20.6573612","1354204865","NULL"
"392","-103.3513791","20.6370509","1354379813","NULL"
"393","-103.3521715","20.6425374","1354455952","NULL"
"394","-103.3516317","20.6388119","1354455972","NULL"
"395","-103.3549369","20.638006","1354883112","NULL"
"396","-103.376622","20.6388361","1355166324","NULL"
"397","-103.3766934","20.6387521","1355166498","NULL"
"398","-103.4014794","20.6072085","1357351174","NULL"
"399","-103.3764124","20.638777","1357351184","NULL"
"400","-103.3669681","20.6499964","1357361834","NULL"
"401","-103.3432202","20.6244383","1357840017","NULL"
"402","-103.3485442","20.6282592","1357887053","NULL"
"403","-103.3487932","20.6283305","1357887172","NULL"
"404","-103.3488112","20.6283891","1357887179","NULL"
"405","-103.3487763","20.6282516","1357887251","NULL"
"406","-103.348602","20.628397","1357887253","NULL"
"407","-103.3764826","20.6386856","1357887328","NULL"
"408","-103.3810827","20.6319487","1358177940","NULL"
"409","-103.3465539","20.6217908","1358563525","NULL"
"410","-103.3466287","20.6219837","1358563545","NULL"
"411","-103.3463089","20.6217955","1359864278","NULL"
"412","-103.3463692","20.6219791","1359864389","NULL"
"413","-103.3361051","20.6504447","1360687877","NULL"
"414","-103.3369238","20.6517403","1360687889","NULL"
"415","-103.3370431","20.6518767","1360687924","NULL"
"416","-103.3418817","20.6507072","1360687993","NULL"
"417","-103.3370056","20.6520421","1360688012","NULL"
"418","-103.3324628","20.6650458","1360688074","NULL"
"419","-103.3426052","20.6520862","1360688126","NULL"
"420","-103.3359729","20.6505208","1360688128","NULL"
"421","-103.3334909","20.6635385","1360981247","NULL"
"422","-103.333202","20.6535728","1361070504","NULL"
"423","-103.3349453","20.6511125","1361070521","NULL"
"424","-103.3348785","20.6511889","1361070574","NULL"
"425","-103.3972206","20.6593735","1361091403","NULL"
"426","-103.3877286","20.6477441","1363063210","NULL"
"427","-103.3874966","20.6487758","1363063241","NULL"
"428","-103.3899727","20.6209544","1364747579","NULL"
"429","-103.3898408","20.6207071","1364747596","NULL"
"430","-103.3897329","20.6208347","1364747613","NULL"
"431","-103.39007","20.620833","1364747660","NULL"
"432","-103.3468145","20.6231855","1365014416","NULL"
"433","-103.3548494","20.672724","1365117484","NULL"
"434","-103.3593868","20.6726812","1365122044","NULL"
"435","-103.3577072","20.7010771","1366744432","NULL"
"436","-103.3355641","20.6571305","1366911592","NULL"
"437","-103.3354473","20.6570906","1366911598","NULL"
"438","-103.3325451","20.6649299","1367220399","NULL"
"439","-103.3477342","20.6818928","1367414603","NULL"
"440","-103.3477932","20.6827836","1367414607","NULL"
"441","-103.3475116","20.678091","1367414626","NULL"
"442","-103.3478308","20.6835841","1367414627","NULL"
"443","-103.3476618","20.6803395","1367414634","NULL"
"444","-103.3476135","20.6795791","1367414638","NULL"
"445","-103.3476913","20.6811174","1367414643","NULL"
"446","-103.3479059","20.6844924","1367414656","NULL"
"447","-103.3479407","20.6854008","1367414660","NULL"
"448","-103.3731006","20.6963653","1367464930","NULL"
"449","-103.3733917","20.6953044","1367464931","NULL"
"450","-103.3733685","20.6960256","1367464937","NULL"
"451","-103.3731469","20.6955385","1367464949","NULL"
"452","-103.3734459","20.6898271","1367464950","NULL"
"453","-103.3638075","20.7049545","1367909256","NULL"
"454","-103.3643801","20.705319","1367909292","NULL"
"455","-103.3618496","20.697066","1367909334","NULL"
"456","-103.3642874","20.7054478","1367909344","NULL"
"457","-103.3712295","20.6972708","1367909353","NULL"
"458","-103.363713","20.7050833","1367909354","NULL"
"459","-103.3713899","20.6973915","1367909364","NULL"
"460","-103.3734512","20.6891986","1368606204","NULL"
"461","-103.3733104","20.6891948","1368606205","NULL"
"462","-103.3733144","20.6882799","1369484020","NULL"
"463","-103.3734734","20.6882839","1369484036","NULL"
"464","-103.3685862","20.676016","1369587205","NULL"
"465","-103.3488226","20.6624978","1370702184","NULL"
"466","-103.348603","20.6624444","1370702210","NULL"
"467","-103.3462637","20.6674007","1370702254","NULL"
"468","-103.3533591","20.6503069","1370715701","NULL"
"469","-103.3851677","20.7014168","1370726839","NULL"
"470","-103.3888075","20.6973335","1370726851","NULL"
"471","-103.3886349","20.6976102","1370726852","NULL"
"472","-103.4128623","20.6795099","1371288706","NULL"
"473","-103.4026159","20.6755716","1371288758","NULL"
"474","-103.405258","20.6767715","1371288774","NULL"
"475","-103.3975232","20.659357","1373304758","NULL"
"476","-103.3972888","20.6592702","1373304819","NULL"
"477","-103.404428","20.6583231","1373425179","NULL"
"478","-103.4040588","20.6617759","1373425238","NULL"
"479","-103.4049601","20.6477149","1374116004","NULL"
"480","-103.415524","20.6406516","1374116113","NULL"
"481","-103.3359197","20.6558738","1374237184","NULL"
"482","-103.346065","20.6671674","1374237211","NULL"
"483","-103.3357519","20.655944","1374237216","NULL"
"484","-103.3346988","20.6599743","1374246935","NULL"
"485","-103.3423249","20.6744959","1374261327","NULL"
"486","-103.347197","20.6651076","1374261339","NULL"
"487","-103.3473917","20.665151","1374261373","NULL"
"488","-103.3286734","20.6778669","1374281968","NULL"
"489","-103.3277445","20.6764506","1374281985","NULL"
"490","-103.4091781","20.6762226","1374438097","NULL"
"491","-103.4090615","20.6762884","1374438100","NULL"
"492","-103.3862707","20.6978067","1375369113","NULL"
"493","-103.3863786","20.6980319","1375369115","NULL"
"494","-103.3863792","20.6977995","1375369135","NULL"
"495","-103.3862703","20.6980388","1375369142","NULL"
"496","-103.3742739","20.694478","1375401797","NULL"
"497","-103.3741006","20.6942996","1375401822","NULL"
"498","-103.3733805","20.6937135","1375401841","NULL"
"499","-103.373182","20.6935764","1375401934","NULL"
"500","-103.419818","20.6879416","1376425446","NULL"
"501","-103.4198391","20.6878231","1376425513","NULL"
"502","-103.4200445","20.6877749","1376425536","NULL"
"503","-103.4200159","20.6878925","1376425537","NULL"
"504","-103.389191","20.682534","1377023810","NULL"
"505","-103.3884595","20.6833315","1377024066","NULL"
"506","-103.3886855","20.6811989","1377024264","NULL"
"507","-103.3877876","20.6812831","1377024406","NULL"
"508","-103.3807724","20.6971849","1377048948","NULL"
